X,Y,Z,C2M_distances,C2M_min_max
-5.29035044,-18.69338608,6.16214943,-0.767178,
-6.15876102,-18.72222137,6.41436481,-0.771078,
-7.27957964,-18.71568298,6.85736847,-0.829254,
-8.28637409,-18.75290108,7.28083992,-0.834799,
-9.31568336,-18.68385315,7.7571373,-0.879906,
-10.42948914,-18.78670692,8.40275002,-0.855359,
-11.37918472,-18.88101196,9.05036163,-0.819688,
-12.49249268,-18.94591904,9.83999634,-0.767261,
-13.40333939,-18.97998047,10.53279972,-0.703186,
-14.4595499,-18.95242691,11.38555431,-0.656405,
-15.37093067,-19.01454353,12.16365623,-0.544098,
-16.27215576,-18.88215446,12.85778522,-0.510414,
-17.14727974,-18.82032585,13.63303757,-0.469178,
-18.06178093,-18.76619911,14.3057003,-0.325775,
-18.98298454,-18.71035957,14.87818527,-0.121499,
-19.91692924,-18.68237495,15.40500164,0.160249,
-20.85815048,-18.64468193,15.85528946,0.485307,
-21.79767227,-18.60587502,16.25849533,0.851853,
-22.74188995,-18.58015251,16.64149475,1.250637,
-23.69905853,-18.55138969,16.99611282,1.675733,
-24.66133118,-18.53956604,17.32660675,2.14839,
-25.62549591,-18.52475739,17.6346302,2.636951,
-26.5963726,-18.51110458,17.92538643,3.139816,
-27.56934357,-18.50240517,18.19980049,3.681495,
-28.54457092,-18.49422455,18.45978737,4.310428,
-29.52433205,-18.48763275,18.70651627,5.014737,
-30.50621605,-18.48346901,18.939888,5.767228,
-31.4894619,-18.48051071,19.16118431,6.573883,
-32.47525024,-18.47886467,19.37164497,7.404686,
-33.46188736,-18.47847557,19.57164764,8.248293,
-34.45002365,-18.47866249,19.7624073,9.101039,
-35.44030762,-18.48060226,19.94395447,9.969921,
-36.43132019,-18.48249817,20.11632538,10.860317,
-37.42564011,-18.48571396,20.27931404,11.758402,
-38.42219925,-18.48883629,20.43125153,12.659792,
-39.422966,-18.49278069,20.57047653,13.565949,
-40.43153,-18.49700165,20.6918354,14.480041,
-41.4490509,-18.50033951,20.78666496,15.410895,
41.45253372,-19.49964905,20.78897858,15.839146,
40.43486786,-19.49566269,20.70036507,14.919215,
39.42775726,-19.49081421,20.58795738,14.007509,
38.42681122,-19.48700714,20.46035957,13.101649,
37.42823029,-19.48265648,20.3206234,12.200143,
36.43323517,-19.48028564,20.17108345,11.318717,
35.43888855,-19.47829056,20.0124836,10.450333,
34.44605637,-19.47761345,19.84488869,9.586475,
33.45411682,-19.47803688,19.66813087,8.727745,
32.46354294,-19.48014259,19.48217392,7.87752,
31.47257233,-19.48336792,19.28556442,7.057999,
30.48446083,-19.49000359,19.07903671,6.263644,
29.49579239,-19.49741173,18.86106491,5.488806,
28.50819778,-19.50854111,18.63032341,4.747889,
27.52315712,-19.52178955,18.38759041,4.083858,
26.53719711,-19.54071236,18.13084221,3.508474,
25.55254555,-19.56291008,17.85757446,2.991604,
24.57079315,-19.5915432,17.56997681,2.500938,
23.58377075,-19.62418938,17.25949669,2.039725,
22.60590935,-19.6686058,16.93050957,1.601104,
21.62664604,-19.72169876,16.58689117,1.194078,
20.64478302,-19.7796917,16.22367859,0.813369,
19.64814758,-19.84805107,15.80650711,0.468498,
18.68812561,-19.92223167,15.38760376,0.173939,
17.66975403,-19.99316216,14.89336586,-0.101305,
16.68522263,-20.10382843,14.34049797,-0.281766,
15.71574116,-20.18995857,13.77028847,-0.434625,
14.66044998,-20.33337212,13.11219406,-0.53043,
13.69130325,-20.42757797,12.47154427,-0.587454,
12.59037781,-20.57972145,11.72691727,-0.593483,
11.60852337,-20.61650276,11.07697582,-0.637934,
10.3928194,-20.61262512,10.33677959,-0.721188,
9.39084148,-20.59022522,9.69488144,-0.73752,
8.22816372,-20.49009705,9.07279491,-0.804769,
7.12773514,-20.39753723,8.53470993,-0.853784,
6.11353016,-20.26030731,7.99007034,-0.822181,
5.02318192,-20.22708511,7.66530704,-0.845942,
3.97827888,-20.18423462,7.37023163,-0.849397,
2.99706459,-20.09871292,7.0899601,-0.827826,
1.88518095,-20.02264214,6.85467815,-0.804001,
0.93081766,-19.99494362,6.72645378,-0.776722,
-0.12903242,-20.02848434,6.71945286,-0.763723,
-1.11872053,-19.97080612,6.72463989,-0.789396,
-2.18487215,-19.89633942,6.73016071,-0.786145,
-3.17002344,-19.85353279,6.79491425,-0.765304,
-4.22872066,-19.9128418,7.09861851,-0.80387,
